date,channel,country,campaign,spend,impressions,clicks
2025-07-01,Display,BR,prospecting,73.87,14774,113
2025-07-01,Display,BR,retargeting,103.43,20686,187
2025-07-01,Display,DE,prospecting,90.92,18185,138
2025-07-01,Display,DE,retargeting,85.87,17174,131
2025-07-01,Display,IN,prospecting,89.05,17810,142
2025-07-01,Display,IN,retargeting,87.76,17551,120
2025-07-01,Display,UK,prospecting,149.89,29977,221
2025-07-01,Display,UK,retargeting,139.82,27965,241
2025-07-01,Display,US,prospecting,232.3,46461,356
2025-07-01,Display,US,retargeting,201.78,40355,295
2025-07-01,Email,BR,lifecycle,27.99,3110,300
2025-07-01,Email,BR,newsletter,29.57,3285,283
2025-07-01,Email,DE,lifecycle,34.08,3787,321
2025-07-01,Email,DE,newsletter,41.54,4615,407
2025-07-01,Email,IN,lifecycle,24.78,2754,239
2025-07-01,Email,IN,newsletter,22.42,2491,236
2025-07-01,Email,UK,lifecycle,37.83,4203,372
2025-07-01,Email,UK,newsletter,41.56,4618,405
2025-07-01,Email,US,lifecycle,61.66,6851,631
2025-07-01,Email,US,newsletter,58.19,6466,604
2025-07-01,Paid Search,BR,brand,293.64,4078,179
2025-07-01,Paid Search,BR,nonbrand,251.23,3489,142
2025-07-01,Paid Search,DE,brand,376.65,5231,245
2025-07-01,Paid Search,DE,nonbrand,330.01,4584,193
2025-07-01,Paid Search,IN,brand,226.14,3141,150
2025-07-01,Paid Search,IN,nonbrand,226.64,3148,138
2025-07-01,Paid Search,UK,brand,466.64,6481,318
2025-07-01,Paid Search,UK,nonbrand,527.4,7325,327
2025-07-01,Paid Search,US,brand,640.39,8894,430
2025-07-01,Paid Search,US,nonbrand,749.56,10411,476
2025-07-01,Paid Social,BR,prospecting,244.78,18829,332
2025-07-01,Paid Social,BR,retargeting,190.93,14687,291
2025-07-01,Paid Social,DE,prospecting,329.24,25326,467
2025-07-01,Paid Social,DE,retargeting,321.33,24718,464
2025-07-01,Paid Social,IN,prospecting,255.2,19631,368
2025-07-01,Paid Social,IN,retargeting,195.23,15018,279
2025-07-01,Paid Social,UK,prospecting,382.52,29425,564
2025-07-01,Paid Social,UK,retargeting,413.22,31786,568
2025-07-01,Paid Social,US,prospecting,538.47,41420,728
2025-07-01,Paid Social,US,retargeting,519.0,39923,716
2025-07-01,Referral,BR,affiliates,90.87,2019,95
2025-07-01,Referral,DE,affiliates,100.08,2224,111
2025-07-01,Referral,IN,affiliates,90.36,2008,110
2025-07-01,Referral,UK,affiliates,134.74,2994,162
2025-07-01,Referral,US,affiliates,191.15,4248,195
2025-07-01,SEO,BR,organic,22.43,3205,225
2025-07-01,SEO,DE,organic,25.78,3683,280
2025-07-01,SEO,IN,organic,23.07,3295,237
2025-07-01,SEO,UK,organic,44.03,6290,376
2025-07-01,SEO,US,organic,56.03,8005,602
2025-07-02,Display,BR,prospecting,93.38,18676,126
2025-07-02,Display,BR,retargeting,75.17,15033,129
2025-07-02,Display,DE,prospecting,124.21,24841,200
2025-07-02,Display,DE,retargeting,121.51,24302,197
2025-07-02,Display,IN,prospecting,81.53,16306,140
2025-07-02,Display,IN,retargeting,90.24,18049,137
2025-07-02,Display,UK,prospecting,162.15,32431,237
2025-07-02,Display,UK,retargeting,139.16,27833,240
2025-07-02,Display,US,prospecting,209.33,41866,329
2025-07-02,Display,US,retargeting,225.27,45055,375
2025-07-02,Email,BR,lifecycle,27.54,3060,274
2025-07-02,Email,BR,newsletter,28.64,3182,337
2025-07-02,Email,DE,lifecycle,30.45,3383,302
2025-07-02,Email,DE,newsletter,38.63,4292,392
2025-07-02,Email,IN,lifecycle,32.99,3666,339
2025-07-02,Email,IN,newsletter,26.53,2948,272
2025-07-02,Email,UK,lifecycle,45.46,5051,449
2025-07-02,Email,UK,newsletter,51.55,5728,564
2025-07-02,Email,US,lifecycle,60.82,6758,576
2025-07-02,Email,US,newsletter,74.48,8275,684
2025-07-02,Paid Search,BR,brand,240.08,3334,131
2025-07-02,Paid Search,BR,nonbrand,261.21,3628,177
2025-07-02,Paid Search,DE,brand,308.47,4284,203
2025-07-02,Paid Search,DE,nonbrand,328.32,4560,194
2025-07-02,Paid Search,IN,brand,254.42,3534,146
2025-07-02,Paid Search,IN,nonbrand,284.98,3958,170
2025-07-02,Paid Search,UK,brand,394.24,5476,235
2025-07-02,Paid Search,UK,nonbrand,464.33,6449,316
2025-07-02,Paid Search,US,brand,612.37,8505,419
2025-07-02,Paid Search,US,nonbrand,630.92,8763,412
2025-07-02,Paid Social,BR,prospecting,224.84,17296,280
2025-07-02,Paid Social,BR,retargeting,273.63,21048,363
2025-07-02,Paid Social,DE,prospecting,283.07,21775,379
2025-07-02,Paid Social,DE,retargeting,257.75,19827,344
2025-07-02,Paid Social,IN,prospecting,206.64,15896,272
2025-07-02,Paid Social,IN,retargeting,210.72,16209,276
2025-07-02,Paid Social,UK,prospecting,348.41,26800,479
2025-07-02,Paid Social,UK,retargeting,364.74,28057,428
2025-07-02,Paid Social,US,prospecting,525.23,40403,698
2025-07-02,Paid Social,US,retargeting,504.03,38772,690
2025-07-02,Referral,BR,affiliates,87.41,1943,101
2025-07-02,Referral,DE,affiliates,120.53,2678,136
2025-07-02,Referral,IN,affiliates,96.6,2147,106
2025-07-02,Referral,UK,affiliates,146.84,3263,159
2025-07-02,Referral,US,affiliates,231.15,5137,263
2025-07-02,SEO,BR,organic,24.71,3530,241
2025-07-02,SEO,DE,organic,32.49,4641,307
2025-07-02,SEO,IN,organic,19.66,2809,202
2025-07-02,SEO,UK,organic,46.1,6585,412
2025-07-02,SEO,US,organic,57.54,8220,567
2025-07-03,Display,BR,prospecting,93.02,18605,158
2025-07-03,Display,BR,retargeting,87.73,17547,153
2025-07-03,Display,DE,prospecting,116.19,23238,180
2025-07-03,Display,DE,retargeting,86.66,17333,135
2025-07-03,Display,IN,prospecting,86.63,17326,149
2025-07-03,Display,IN,retargeting,93.32,18665,157
2025-07-03,Display,UK,prospecting,168.66,33733,257
2025-07-03,Display,UK,retargeting,168.95,33790,293
2025-07-03,Display,US,prospecting,216.31,43263,348
2025-07-03,Display,US,retargeting,170.2,34040,259
2025-07-03,Email,BR,lifecycle,31.85,3539,318
2025-07-03,Email,BR,newsletter,29.02,3225,300
2025-07-03,Email,DE,lifecycle,34.52,3836,334
2025-07-03,Email,DE,newsletter,29.69,3299,300
2025-07-03,Email,IN,lifecycle,28.29,3144,251
2025-07-03,Email,IN,newsletter,24.05,2672,227
2025-07-03,Email,UK,lifecycle,50.1,5567,487
2025-07-03,Email,UK,newsletter,46.66,5184,420
2025-07-03,Email,US,lifecycle,61.63,6848,625
2025-07-03,Email,US,newsletter,57.81,6423,632
2025-07-03,Paid Search,BR,brand,238.01,3306,156
2025-07-03,Paid Search,BR,nonbrand,270.06,3751,161
2025-07-03,Paid Search,DE,brand,303.4,4214,207
2025-07-03,Paid Search,DE,nonbrand,338.47,4701,220
2025-07-03,Paid Search,IN,brand,210.03,2917,140
2025-07-03,Paid Search,IN,nonbrand,292.14,4058,177
2025-07-03,Paid Search,UK,brand,491.3,6824,292
2025-07-03,Paid Search,UK,nonbrand,496.86,6901,329
2025-07-03,Paid Search,US,brand,648.53,9007,417
2025-07-03,Paid Search,US,nonbrand,643.14,8932,372
2025-07-03,Paid Social,BR,prospecting,175.93,13533,250
2025-07-03,Paid Social,BR,retargeting,244.57,18813,332
2025-07-03,Paid Social,DE,prospecting,318.58,24506,440
2025-07-03,Paid Social,DE,retargeting,246.88,18991,342
2025-07-03,Paid Social,IN,prospecting,183.21,14093,238
2025-07-03,Paid Social,IN,retargeting,189.0,14538,257
2025-07-03,Paid Social,UK,prospecting,350.57,26967,465
2025-07-03,Paid Social,UK,retargeting,428.52,32963,538
2025-07-03,Paid Social,US,prospecting,539.99,41538,770
2025-07-03,Paid Social,US,retargeting,429.71,33055,613
2025-07-03,Referral,BR,affiliates,88.57,1968,107
2025-07-03,Referral,DE,affiliates,131.07,2913,146
2025-07-03,Referral,IN,affiliates,83.29,1851,85
2025-07-03,Referral,UK,affiliates,176.39,3920,201
2025-07-03,Referral,US,affiliates,189.19,4204,193
2025-07-03,SEO,BR,organic,31.09,4442,342
2025-07-03,SEO,DE,organic,26.21,3744,259
2025-07-03,SEO,IN,organic,19.42,2774,171
2025-07-03,SEO,UK,organic,36.35,5192,392
2025-07-03,SEO,US,organic,49.22,7031,524
2025-07-04,Display,BR,prospecting,80.57,16114,125
2025-07-04,Display,BR,retargeting,90.01,18003,129
2025-07-04,Display,DE,prospecting,114.64,22927,184
2025-07-04,Display,DE,retargeting,108.79,21759,160
2025-07-04,Display,IN,prospecting,87.71,17542,146
2025-07-04,Display,IN,retargeting,84.89,16978,130
2025-07-04,Display,UK,prospecting,149.22,29845,232
2025-07-04,Display,UK,retargeting,153.32,30663,234
2025-07-04,Display,US,prospecting,169.13,33827,273
2025-07-04,Display,US,retargeting,183.32,36663,304
2025-07-04,Email,BR,lifecycle,31.46,3496,327
2025-07-04,Email,BR,newsletter,22.05,2450,213
2025-07-04,Email,DE,lifecycle,36.06,4007,348
2025-07-04,Email,DE,newsletter,33.88,3764,321
2025-07-04,Email,IN,lifecycle,28.12,3124,305
2025-07-04,Email,IN,newsletter,32.56,3618,341
2025-07-04,Email,UK,lifecycle,50.73,5636,495
2025-07-04,Email,UK,newsletter,48.07,5341,446
2025-07-04,Email,US,lifecycle,68.4,7600,745
2025-07-04,Email,US,newsletter,63.37,7041,668
2025-07-04,Paid Search,BR,brand,271.77,3775,184
2025-07-04,Paid Search,BR,nonbrand,286.15,3974,190
2025-07-04,Paid Search,DE,brand,356.87,4957,211
2025-07-04,Paid Search,DE,nonbrand,370.5,5146,244
2025-07-04,Paid Search,IN,brand,228.84,3178,140
2025-07-04,Paid Search,IN,nonbrand,213.85,2970,132
2025-07-04,Paid Search,UK,brand,501.85,6970,317
2025-07-04,Paid Search,UK,nonbrand,489.87,6804,300
2025-07-04,Paid Search,US,brand,595.08,8265,394
2025-07-04,Paid Search,US,nonbrand,558.23,7753,327
2025-07-04,Paid Social,BR,prospecting,228.44,17572,302
2025-07-04,Paid Social,BR,retargeting,217.69,16745,279
2025-07-04,Paid Social,DE,prospecting,258.67,19898,371
2025-07-04,Paid Social,DE,retargeting,279.76,21520,403
2025-07-04,Paid Social,IN,prospecting,205.43,15802,279
2025-07-04,Paid Social,IN,retargeting,219.39,16876,306
2025-07-04,Paid Social,UK,prospecting,370.45,28496,541
2025-07-04,Paid Social,UK,retargeting,426.88,32837,580
2025-07-04,Paid Social,US,prospecting,519.74,39980,670
2025-07-04,Paid Social,US,retargeting,511.12,39317,750
2025-07-04,Referral,BR,affiliates,88.59,1969,103
2025-07-04,Referral,DE,affiliates,141.3,3140,147
2025-07-04,Referral,IN,affiliates,91.7,2038,89
2025-07-04,Referral,UK,affiliates,149.73,3327,180
2025-07-04,Referral,US,affiliates,202.59,4502,221
2025-07-04,SEO,BR,organic,23.93,3419,241
2025-07-04,SEO,DE,organic,25.37,3625,226
2025-07-04,SEO,IN,organic,25.91,3701,276
2025-07-04,SEO,UK,organic,31.75,4535,304
2025-07-04,SEO,US,organic,55.12,7874,559
2025-07-05,Display,BR,prospecting,81.63,16325,140
2025-07-05,Display,BR,retargeting,104.61,20921,166
2025-07-05,Display,DE,prospecting,111.67,22334,190
2025-07-05,Display,DE,retargeting,137.96,27592,203
2025-07-05,Display,IN,prospecting,93.06,18612,155
2025-07-05,Display,IN,retargeting,78.03,15606,119
2025-07-05,Display,UK,prospecting,177.26,35452,277
2025-07-05,Display,UK,retargeting,157.61,31522,231
2025-07-05,Display,US,prospecting,269.76,53952,443
2025-07-05,Display,US,retargeting,238.36,47671,403
2025-07-05,Email,BR,lifecycle,28.83,3203,288
2025-07-05,Email,BR,newsletter,27.04,3004,274
2025-07-05,Email,DE,lifecycle,32.91,3656,330
2025-07-05,Email,DE,newsletter,38.7,4300,370
2025-07-05,Email,IN,lifecycle,33.32,3702,344
2025-07-05,Email,IN,newsletter,27.26,3029,245
2025-07-05,Email,UK,lifecycle,52.14,5794,465
2025-07-05,Email,UK,newsletter,51.38,5709,509
2025-07-05,Email,US,lifecycle,58.12,6458,531
2025-07-05,Email,US,newsletter,45.82,5091,456
2025-07-05,Paid Search,BR,brand,298.43,4145,203
2025-07-05,Paid Search,BR,nonbrand,342.85,4762,206
2025-07-05,Paid Search,DE,brand,408.8,5678,252
2025-07-05,Paid Search,DE,nonbrand,437.66,6079,257
2025-07-05,Paid Search,IN,brand,246.25,3420,144
2025-07-05,Paid Search,IN,nonbrand,253.26,3517,157
2025-07-05,Paid Search,UK,brand,373.19,5183,245
2025-07-05,Paid Search,UK,nonbrand,523.71,7274,327
2025-07-05,Paid Search,US,brand,679.77,9441,457
2025-07-05,Paid Search,US,nonbrand,714.83,9928,400
2025-07-05,Paid Social,BR,prospecting,194.37,14951,273
2025-07-05,Paid Social,BR,retargeting,216.29,16637,313
2025-07-05,Paid Social,DE,prospecting,355.95,27381,521
2025-07-05,Paid Social,DE,retargeting,263.23,20248,389
2025-07-05,Paid Social,IN,prospecting,214.55,16504,298
2025-07-05,Paid Social,IN,retargeting,224.85,17296,299
2025-07-05,Paid Social,UK,prospecting,403.88,31067,631
2025-07-05,Paid Social,UK,retargeting,374.82,28832,593
2025-07-05,Paid Social,US,prospecting,603.62,46432,874
2025-07-05,Paid Social,US,retargeting,423.64,32588,592
2025-07-05,Referral,BR,affiliates,89.89,1998,99
2025-07-05,Referral,DE,affiliates,159.39,3542,178
2025-07-05,Referral,IN,affiliates,109.3,2429,120
2025-07-05,Referral,UK,affiliates,171.55,3812,189
2025-07-05,Referral,US,affiliates,260.72,5794,264
2025-07-05,SEO,BR,organic,25.98,3712,269
2025-07-05,SEO,DE,organic,32.38,4625,327
2025-07-05,SEO,IN,organic,23.66,3381,205
2025-07-05,SEO,UK,organic,48.13,6876,439
2025-07-05,SEO,US,organic,62.0,8857,653
2025-07-06,Display,BR,prospecting,94.54,18909,154
2025-07-06,Display,BR,retargeting,94.88,18975,146
2025-07-06,Display,DE,prospecting,123.03,24606,182
2025-07-06,Display,DE,retargeting,114.12,22824,162
2025-07-06,Display,IN,prospecting,95.35,19071,143
2025-07-06,Display,IN,retargeting,96.95,19390,174
2025-07-06,Display,UK,prospecting,149.58,29915,236
2025-07-06,Display,UK,retargeting,198.5,39700,335
2025-07-06,Display,US,prospecting,198.54,39707,318
2025-07-06,Display,US,retargeting,202.53,40505,316
2025-07-06,Email,BR,lifecycle,26.99,2999,298
2025-07-06,Email,BR,newsletter,32.58,3620,338
