user_id,seq,channel,touch_date
U000001,1,Paid Search,2025-06-13
U000001,2,Display,2025-07-01
U000104,1,SEO,2025-06-22
U000104,2,Paid Social,2025-07-01
U000103,1,Paid Social,2025-07-01
U000102,1,Paid Social,2025-06-02
U000102,2,Paid Social,2025-06-06
U000102,3,Display,2025-06-12
U000102,4,Paid Social,2025-07-01
U000101,1,Referral,2025-06-15
U000101,2,Email,2025-06-18
U000101,3,Paid Social,2025-07-01
U000099,1,Paid Social,2025-07-01
U000098,1,Paid Social,2025-07-01
U000097,1,Paid Social,2025-07-01
U000096,1,Paid Social,2025-07-01
U000095,1,Paid Social,2025-06-13
U000095,2,Paid Social,2025-07-01
U000094,1,Display,2025-06-03
U000094,2,Paid Social,2025-07-01
U000093,1,Paid Search,2025-06-29
U000093,2,Paid Social,2025-07-01
U000092,1,Display,2025-06-20
U000092,2,Display,2025-06-24
U000092,3,Paid Social,2025-07-01
U000091,1,Paid Social,2025-07-01
U000090,1,Paid Social,2025-07-01
U000089,1,Paid Social,2025-07-01
U000088,1,Paid Social,2025-07-01
U000087,1,Paid Search,2025-06-08
U000087,2,Paid Search,2025-06-19
U000087,3,Paid Social,2025-07-01
U000073,1,Paid Search,2025-07-01
U000074,1,Paid Search,2025-07-01
U000075,1,SEO,2025-06-07
U000075,2,Paid Search,2025-07-01
U000076,1,Paid Search,2025-07-01
U000077,1,Paid Search,2025-07-01
U000078,1,SEO,2025-06-06
U000078,2,Paid Social,2025-06-06
U000078,3,Paid Search,2025-07-01
U000105,1,Paid Social,2025-07-01
U000079,1,Paid Search,2025-07-01
U000081,1,SEO,2025-06-03
U000081,2,SEO,2025-06-05
U000081,3,Paid Social,2025-07-01
U000082,1,Referral,2025-06-07
U000082,2,Paid Social,2025-07-01
U000083,1,Paid Search,2025-06-13
U000083,2,Paid Social,2025-06-18
U000083,3,Paid Social,2025-07-01
U000084,1,Email,2025-06-20
U000084,2,Display,2025-06-26
U000084,3,Paid Social,2025-07-01
U000085,1,SEO,2025-06-23
U000085,2,Paid Search,2025-06-23
U000085,3,Paid Social,2025-07-01
U000086,1,Display,2025-06-22
U000086,2,Paid Social,2025-07-01
U000080,1,Email,2025-06-16
U000080,2,SEO,2025-06-22
U000080,3,Paid Social,2025-06-22
U000080,4,Paid Search,2025-07-01
U000072,1,Paid Search,2025-07-01
U000106,1,Paid Social,2025-06-03
U000106,2,Paid Social,2025-07-01
U000108,1,Paid Social,2025-07-01
U000139,1,SEO,2025-06-05
U000139,2,SEO,2025-07-01
U000138,1,Referral,2025-06-14
U000138,2,SEO,2025-07-01
U000137,1,Paid Search,2025-06-07
U000137,2,Display,2025-06-20
U000137,3,SEO,2025-07-01
U000136,1,Email,2025-06-06
U000136,2,Paid Social,2025-06-11
U000136,3,Email,2025-06-23
U000136,4,Paid Social,2025-06-26
U000136,5,SEO,2025-07-01
U000135,1,SEO,2025-07-01
U000134,1,Paid Search,2025-06-17
U000134,2,SEO,2025-07-01
U000133,1,SEO,2025-07-01
U000132,1,Display,2025-06-07
U000132,2,SEO,2025-07-01
U000131,1,Email,2025-06-18
U000131,2,SEO,2025-07-01
U000130,1,SEO,2025-07-01
U000129,1,SEO,2025-07-01
U000128,1,SEO,2025-07-01
U000127,1,Paid Search,2025-06-06
U000127,2,SEO,2025-06-25
U000127,3,Paid Search,2025-06-28
U000127,4,SEO,2025-07-01
U000126,1,SEO,2025-07-01
U000125,1,Display,2025-06-22
U000125,2,SEO,2025-07-01
U000124,1,Display,2025-06-09
U000124,2,SEO,2025-07-01
U000123,1,SEO,2025-07-01
U000109,1,Paid Social,2025-06-06
U000109,2,Display,2025-06-06
U000109,3,Referral,2025-07-01
U000110,1,Paid Social,2025-06-06
U000110,2,Referral,2025-07-01
U000111,1,Paid Social,2025-06-26
U000111,2,Referral,2025-07-01
U000112,1,SEO,2025-06-24
U000112,2,Referral,2025-07-01
U000113,1,Referral,2025-07-01
U000114,1,Paid Social,2025-06-06
U000114,2,Referral,2025-07-01
U000107,1,SEO,2025-06-08
U000107,2,Paid Social,2025-07-01
U000115,1,Paid Social,2025-06-05
U000115,2,Referral,2025-07-01
U000117,1,Referral,2025-07-01
U000118,1,Referral,2025-07-01
U000119,1,Referral,2025-06-23
U000119,2,Referral,2025-07-01
U000120,1,Referral,2025-06-03
U000120,2,Email,2025-06-09
U000120,3,Referral,2025-07-01
U000121,1,Paid Social,2025-06-18
U000121,2,Referral,2025-07-01
U000122,1,Referral,2025-07-01
U000116,1,Email,2025-06-16
U000116,2,Referral,2025-07-01
U000071,1,Paid Social,2025-06-03
U000071,2,SEO,2025-06-19
U000071,3,Paid Search,2025-07-01
U000100,1,Paid Social,2025-06-20
U000100,2,SEO,2025-06-26
U000100,3,Paid Social,2025-07-01
U000069,1,Paid Search,2025-07-01
U000020,1,Display,2025-06-19
U000020,2,Email,2025-06-19
U000020,3,Email,2025-07-01
U000021,1,SEO,2025-06-25
U000021,2,Email,2025-07-01
U000022,1,Display,2025-06-08
U000022,2,Email,2025-07-01
U000023,1,SEO,2025-06-06
U000023,2,Email,2025-07-01
U000024,1,Referral,2025-06-03
U000024,2,Display,2025-06-06
U000024,3,Paid Search,2025-07-01
U000025,1,Display,2025-06-12
U000025,2,Paid Search,2025-07-01
U000019,1,Display,2025-06-06
U000019,2,Paid Social,2025-06-24
U000019,3,Email,2025-07-01
U000026,1,Paid Social,2025-06-03
U000026,2,Paid Search,2025-07-01
U000028,1,Paid Search,2025-07-01
U000029,1,Paid Search,2025-07-01
U000030,1,Paid Social,2025-06-03
U000030,2,Paid Social,2025-06-05
U000030,3,Paid Search,2025-07-01
U000031,1,Paid Search,2025-06-20
U000031,2,Paid Search,2025-07-01
U000032,1,Paid Social,2025-06-12
U000032,2,Paid Search,2025-07-01
U000033,1,Paid Search,2025-07-01
U000027,1,Paid Search,2025-07-01
U000034,1,Paid Search,2025-07-01
U000018,1,Paid Social,2025-06-08
U000018,2,SEO,2025-06-08
U000018,3,Email,2025-07-01
U000016,1,SEO,2025-06-02
U000016,2,SEO,2025-06-09
U000016,3,Email,2025-07-01
U000002,1,Display,2025-07-01
U000003,1,Paid Social,2025-06-03
U000003,2,Paid Social,2025-06-06
U000003,3,Display,2025-07-01
U000004,1,Email,2025-07-01
U000005,1,Email,2025-07-01
U000070,1,Paid Search,2025-07-01
U000007,1,Display,2025-06-14
U000007,2,Email,2025-07-01
U000017,1,Paid Social,2025-06-09
U000017,2,Paid Search,2025-06-10
U000017,3,Email,2025-07-01
U000008,1,Paid Social,2025-06-22
U000008,2,Email,2025-07-01
U000010,1,Referral,2025-06-18
U000010,2,Display,2025-06-20
U000010,3,Email,2025-07-01
U000011,1,SEO,2025-06-10
U000011,2,Email,2025-07-01
U000012,1,Paid Social,2025-06-05
U000012,2,Paid Search,2025-06-23
U000012,3,Display,2025-06-27
U000012,4,Email,2025-07-01
U000013,1,Paid Social,2025-06-28
U000013,2,Email,2025-07-01
U000013,3,Email,2025-07-01
U000014,1,Email,2025-07-01
U000015,1,SEO,2025-06-06
U000015,2,Paid Search,2025-06-09
U000015,3,SEO,2025-06-14
U000015,4,Email,2025-07-01
U000009,1,Email,2025-07-01
U000035,1,Email,2025-06-09
U000035,2,Paid Social,2025-06-16
U000035,3,SEO,2025-06-20
U000035,4,Paid Search,2025-07-01
U000006,1,Email,2025-07-01
U000037,1,Paid Search,2025-07-01
U000055,1,Paid Search,2025-07-01
U000056,1,Paid Social,2025-06-05
U000056,2,SEO,2025-06-09
U000056,3,Email,2025-06-10
U000056,4,Paid Search,2025-07-01
U000057,1,Paid Search,2025-07-01
U000058,1,Paid Social,2025-06-20
U000058,2,Paid Search,2025-07-01
U000059,1,Referral,2025-06-02
U000059,2,Paid Search,2025-07-01
U000060,1,Paid Search,2025-06-12
U000060,2,Paid Search,2025-07-01
U000054,1,Paid Social,2025-06-03
U000054,2,Paid Search,2025-06-19
U000054,3,Paid Search,2025-07-01
U000061,1,Paid Search,2025-07-01
U000063,1,SEO,2025-06-08
U000063,2,Paid Search,2025-07-01
U000064,1,Paid Search,2025-07-01
U000065,1,Paid Social,2025-06-06
U000065,2,Paid Search,2025-07-01
