user_id,signup_date,country,channel,converted,months_active,commission_revenue,ltv
U000001,2025-07-01,IN,Display,1,8,126.96,40.5
U000104,2025-07-01,US,Paid Social,1,7,183.89,178.2
U000103,2025-07-01,US,Paid Social,1,13,353.94,178.2
U000102,2025-07-01,UK,Paid Social,0,0,0.0,0.0
U000101,2025-07-01,UK,Paid Social,1,8,355.56,158.4
U000099,2025-07-01,UK,Paid Social,0,0,0.0,0.0
U000098,2025-07-01,UK,Paid Social,1,8,281.92,158.4
U000097,2025-07-01,UK,Paid Social,1,6,94.15,158.4
U000096,2025-07-01,IN,Paid Social,0,0,0.0,0.0
U000095,2025-07-01,IN,Paid Social,1,5,42.2,59.4
U000094,2025-07-01,DE,Paid Social,0,0,0.0,0.0
U000093,2025-07-01,DE,Paid Social,1,1,19.37,138.6
U000092,2025-07-01,DE,Paid Social,1,7,191.69,138.6
U000091,2025-07-01,DE,Paid Social,1,1,23.92,138.6
U000090,2025-07-01,DE,Paid Social,0,0,0.0,0.0
U000089,2025-07-01,DE,Paid Social,1,4,152.9,138.6
U000088,2025-07-01,DE,Paid Social,1,10,414.98,138.6
U000087,2025-07-01,DE,Paid Social,0,0,0.0,0.0
U000073,2025-07-01,US,Paid Search,1,5,190.34,340.2
U000074,2025-07-01,US,Paid Search,1,4,137.8,340.2
U000075,2025-07-01,US,Paid Search,1,3,98.99,340.2
U000076,2025-07-01,US,Paid Search,1,9,304.14,340.2
U000077,2025-07-01,US,Paid Search,1,1,29.86,340.2
U000078,2025-07-01,US,Paid Search,1,3,87.92,340.2
U000105,2025-07-01,US,Paid Social,1,1,52.14,178.2
U000079,2025-07-01,US,Paid Search,1,4,117.62,340.2
U000081,2025-07-01,BR,Paid Social,1,4,68.77,72.6
U000082,2025-07-01,BR,Paid Social,0,0,0.0,0.0
U000083,2025-07-01,BR,Paid Social,1,13,154.79,72.6
U000084,2025-07-01,BR,Paid Social,0,0,0.0,0.0
U000085,2025-07-01,BR,Paid Social,1,4,37.47,72.6
U000086,2025-07-01,BR,Paid Social,0,0,0.0,0.0
U000080,2025-07-01,US,Paid Search,1,5,241.05,340.2
U000072,2025-07-01,US,Paid Search,0,0,0.0,0.0
U000106,2025-07-01,US,Paid Social,1,11,379.88,178.2
U000108,2025-07-01,US,Paid Social,1,12,591.05,178.2
U000139,2025-07-01,US,SEO,1,13,306.05,567.0
U000138,2025-07-01,US,SEO,1,7,305.54,567.0
U000137,2025-07-01,US,SEO,1,2,84.46,567.0
U000136,2025-07-01,US,SEO,1,13,736.53,567.0
U000135,2025-07-01,US,SEO,1,8,513.39,567.0
U000134,2025-07-01,US,SEO,0,0,0.0,0.0
U000133,2025-07-01,UK,SEO,0,0,0.0,0.0
U000132,2025-07-01,UK,SEO,1,13,643.0,504.0
U000131,2025-07-01,UK,SEO,0,0,0.0,0.0
U000130,2025-07-01,UK,SEO,0,0,0.0,0.0
U000129,2025-07-01,DE,SEO,0,0,0.0,0.0
U000128,2025-07-01,DE,SEO,0,0,0.0,0.0
U000127,2025-07-01,DE,SEO,0,0,0.0,0.0
U000126,2025-07-01,BR,SEO,1,6,103.26,231.0
