channel,country,cac
Display,BR,643.79
Display,DE,473.16
Display,IN,714.57
Display,UK,419.76
Display,US,464.33
Email,BR,31.05
Email,DE,23.03
Email,IN,33.23
Email,UK,20.72
Email,US,21.85
Paid Search,BR,150.81
Paid Search,DE,119.02
Paid Search,IN,167.74
Paid Search,UK,107.28
Paid Search,US,111.13
Paid Social,BR,192.07
Paid Social,DE,153.39
Paid Social,IN,234.09
Paid Social,UK,140.89
Paid Social,US,141.77
Referral,BR,99.27
Referral,DE,85.9
Referral,IN,110.86
Referral,UK,73.76
Referral,US,79.94
SEO,BR,14.69
SEO,DE,12.59
SEO,IN,17.21
SEO,UK,11.11
SEO,US,11.72
