month,channel,spend
2025-07,Display,40526.0
2025-07,Email,12183.0
2025-07,Paid Search,122231.0
2025-07,Paid Social,101413.0
2025-07,Referral,21716.0
2025-07,SEO,5362.0
2025-08,Display,40792.0
2025-08,Email,12109.0
2025-08,Paid Search,119027.0
2025-08,Paid Social,101390.0
2025-08,Referral,21412.0
2025-08,SEO,5339.0
2025-09,Display,36186.0
2025-09,Email,10990.0
2025-09,Paid Search,110483.0
2025-09,Paid Social,90732.0
2025-09,Referral,19577.0
2025-09,SEO,4846.0
2025-10,Display,35355.0
2025-10,Email,10670.0
2025-10,Paid Search,105230.0
2025-10,Paid Social,88470.0
2025-10,Referral,18656.0
2025-10,SEO,4856.0
2025-11,Display,37892.0
2025-11,Email,11374.0
2025-11,Paid Search,113059.0
2025-11,Paid Social,94936.0
2025-11,Referral,20215.0
2025-11,SEO,5156.0
2025-12,Display,39255.0
2025-12,Email,11576.0
2025-12,Paid Search,115305.0
2025-12,Paid Social,96259.0
2025-12,Referral,20440.0
2025-12,SEO,5161.0
2026-01,Display,31924.0
2026-01,Email,9553.0
2026-01,Paid Search,96478.0
2026-01,Paid Social,79405.0
2026-01,Referral,16907.0
2026-01,SEO,4244.0
2026-02,Display,34814.0
2026-02,Email,10521.0
2026-02,Paid Search,104532.0
2026-02,Paid Social,108951.0
2026-02,Referral,19075.0
2026-02,SEO,4709.0
2026-03,Display,43617.0
2026-03,Email,13145.0
2026-03,Paid Search,130040.0
2026-03,Paid Social,110080.0
2026-03,Referral,23198.0
2026-03,SEO,5835.0
2026-04,Display,47410.0
2026-04,Email,14216.0
2026-04,Paid Search,142467.0
2026-04,Paid Social,118561.0
2026-04,Referral,25405.0
2026-04,SEO,6358.0
2026-05,Display,54463.0
2026-05,Email,15892.0
2026-05,Paid Search,161398.0
2026-05,Paid Social,132110.0
2026-05,Referral,28864.0
2026-05,SEO,7176.0
2026-06,Display,54878.0
2026-06,Email,16526.0
2026-06,Paid Search,163057.0
2026-06,Paid Social,135256.0
2026-06,Referral,28765.0
2026-06,SEO,7393.0
